Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
71.63,196.0,,,,,,,,,,,,0,0,0,0,0,Marist,2019,0,0
76.13,214.0,10.88,33.88,4.5,2.65,1.6,,34.5,,,,,17.8,16.4,0,0,0,Syracuse,2019,1048,906
75.5,211.0,10.25,32.75,,,,21.0,,,,,,0,0,0,0,0,Michigan State,2019,0,0
69.88,189.0,9.25,30.88,,,,12.0,35.0,124.0,4.23,7.09,,7.9,8.7,0,0,0,Auburn,2019,1555,546
75.25,210.0,,,,,,,,,,,,0,0,0,0,0,Central Arkansas,2019,0,0
70.38,201.0,9.63,30.25,4.41,2.6,1.57,16.0,37.5,120.0,4.43,,,15.9,17.1,18.5,18.5,0,Ohio State,2019,1146,669
67.13,173.0,9.25,29.25,,,,,,,,,,12.1,12.7,0,0,0,Wake Forest,2019,1800,1078
74.75,211.0,9.5,31.75,,,,8.0,,,,,,0,0,0,0,0,UC-Davis,2019,0,0
73.38,215.0,9.0,33.38,4.43,2.61,1.57,13.0,38.0,121.0,4.22,7.0,,0,0,0,0,0,Malone (OH),2019,0,0
71.13,160.0,8.75,31.13,4.55,2.7,1.64,,31.5,,4.31,7.0,,13.4,12.8,,22.1,0,Florida Atlantic,2019,1599,873
71.0,181.0,,,,,,,,,,,,18.1,16.7,,15.3,0,Arizona,2019,1155,525
76.75,227.0,9.25,34.25,4.45,2.6,1.57,8.0,37.0,123.0,4.59,7.25,,0,0,0,0,0,Northwestern State (LA),2019,0,0
74.38,215.0,9.5,33.75,4.58,2.7,1.6,15.0,36.5,126.0,,,,17.2,16.0,0,0,6,Old Dominion (VA),2019,2044,1083
71.5,184.0,9.38,30.0,4.55,2.67,1.6,,36.5,,,,,16.7,13.4,0,0,7,Georgia,2019,1800,385
67.88,190.0,,,,,,,,,,,,17.1,13.4,20.3,25.2,6,Louisiana-Monroe,2019,2698,855
73.88,205.0,,,,,,,,,,,,15.7,14.4,0,0,0,Utah State,2019,1007,689
72.88,212.0,,,,,,,,,,,,14.9,15.3,0,0,0,North Texas,2019,1580,805
73.88,201.0,9.75,33.25,4.39,2.59,1.54,15.0,43.5,141.0,,,,22.4,20.8,0,0,0,Missouri,2019,2016,828
70.25,187.0,9.0,30.25,4.33,2.57,1.54,17.0,36.5,119.0,,,,15.5,16.0,0,0,2,Georgia,2019,961,543
74.13,221.0,9.5,32.5,4.6,2.69,1.62,18.0,32.5,117.0,4.32,7.15,,14.6,15.1,0,0,6,North Carolina State,2019,2665,1186
71.13,196.0,,,,,,,,,,,,0,0,0,0,0,Tennessee State,2019,0,0
74.88,228.0,9.5,33.0,4.53,2.67,1.62,27.0,38.5,122.0,,,,0,0,0,0,1,Arizona State,2019,0,0
